"","gene","adj.pval.methgroup"
"1","Pocillopora_acuta_HIv2___TS.g10153.t1",0.0014208
"2","Pocillopora_acuta_HIv2___RNAseq.g27406.t1",0
"3","Pocillopora_acuta_HIv2___RNAseq.g27408.t1",0.00019463
"4","Pocillopora_acuta_HIv2___TS.g10174.t1",0.01771278
"5","Pocillopora_acuta_HIv2___TS.g10175.t2a",0.02905725
"6","Pocillopora_acuta_HIv2___RNAseq.g27422.t1",0
"7","Pocillopora_acuta_HIv2___TS.g10216.t2",0
"8","Pocillopora_acuta_HIv2___RNAseq.g27462.t1",0.01022274
"9","Pocillopora_acuta_HIv2___TS.g10231.t1",0.00024852
"10","Pocillopora_acuta_HIv2___RNAseq.g27475.t1",4.516e-05
"11","Pocillopora_acuta_HIv2___TS.g10243.t2",0
"12","Pocillopora_acuta_HIv2___RNAseq.g27499.t1",0.00136959
"13","Pocillopora_acuta_HIv2___RNAseq.g27502.t1",6.32e-06
"14","Pocillopora_acuta_HIv2___RNAseq.g27503.t1",0
"15","Pocillopora_acuta_HIv2___RNAseq.g27523.t1",0
"16","Pocillopora_acuta_HIv2___RNAseq.g27533.t1",0
"17","Pocillopora_acuta_HIv2___RNAseq.g27535.t1",0
"18","Pocillopora_acuta_HIv2___TS.g10301.t1",0.00971417
"19","Pocillopora_acuta_HIv2___RNAseq.g27549.t1",0.02522984
"20","Pocillopora_acuta_HIv2___TS.g10314.t1",0.00030047
"21","Pocillopora_acuta_HIv2___RNAseq.g27568.t1",2.4e-07
"22","Pocillopora_acuta_HIv2___TS.g10330.t2",0.00077187
"23","Pocillopora_acuta_HIv2___TS.g10337.t2",8.3e-07
"24","Pocillopora_acuta_HIv2___RNAseq.g27588.t1",0.0060074
"25","Pocillopora_acuta_HIv2___RNAseq.g27591.t1",0
"26","Pocillopora_acuta_HIv2___RNAseq.g27598.t1",0.03397719
"27","Pocillopora_acuta_HIv2___RNAseq.g27619.t1",0.00042955
"28","Pocillopora_acuta_HIv2___TS.g10396.t1",0.04765064
"29","Pocillopora_acuta_HIv2___RNAseq.g27639.t1",0.0026039
"30","Pocillopora_acuta_HIv2___RNAseq.g27668.t1",2.9e-07
"31","Pocillopora_acuta_HIv2___RNAseq.g27694.t1",0.00196727
"32","Pocillopora_acuta_HIv2___RNAseq.g27697.t1",0.0169342
"33","Pocillopora_acuta_HIv2___RNAseq.g27700.t1",0
"34","Pocillopora_acuta_HIv2___RNAseq.g27702.t1",0.00379241
"35","Pocillopora_acuta_HIv2___TS.g10461.t1",0.00193525
"36","Pocillopora_acuta_HIv2___RNAseq.g27713.t1",0
"37","Pocillopora_acuta_HIv2___RNAseq.g27715.t1a",0
"38","Pocillopora_acuta_HIv2___RNAseq.g27739.t1",0
"39","Pocillopora_acuta_HIv2___TS.g10502.t1",0
"40","Pocillopora_acuta_HIv2___RNAseq.g27773.t1",0
"41","Pocillopora_acuta_HIv2___RNAseq.g27786.t1",0.03912818
"42","Pocillopora_acuta_HIv2___TS.g10554.t3",0.00027969
"43","Pocillopora_acuta_HIv2___RNAseq.g27793.t1",0.03128865
"44","Pocillopora_acuta_HIv2___RNAseq.g27801.t1",1.736e-05
"45","Pocillopora_acuta_HIv2___RNAseq.g27806.t1",0.02026034
"46","Pocillopora_acuta_HIv2___RNAseq.g27812.t1",0
"47","Pocillopora_acuta_HIv2___RNAseq.g27815.t1",0
"48","Pocillopora_acuta_HIv2___RNAseq.g27816.t1",0
"49","Pocillopora_acuta_HIv2___RNAseq.g27820.t1",0
"50","Pocillopora_acuta_HIv2___RNAseq.g27833.t1",0
"51","Pocillopora_acuta_HIv2___RNAseq.g27834.t1",0
"52","Pocillopora_acuta_HIv2___RNAseq.g27838.t1",0.01670623
"53","Pocillopora_acuta_HIv2___RNAseq.g27839.t1",0.01937628
"54","Pocillopora_acuta_HIv2___TS.g10619.t1",0
"55","Pocillopora_acuta_HIv2___TS.g10620.t1",0.00049526
"56","Pocillopora_acuta_HIv2___TS.g10627.t2",3e-08
"57","Pocillopora_acuta_HIv2___TS.g10630.t1",0
"58","Pocillopora_acuta_HIv2___TS.g10631.t1",0.00033567
"59","Pocillopora_acuta_HIv2___TS.g10632.t1",3.03e-06
"60","Pocillopora_acuta_HIv2___RNAseq.g27881.t1",0.00904397
"61","Pocillopora_acuta_HIv2___RNAseq.g27882.t1",0
"62","Pocillopora_acuta_HIv2___RNAseq.g27920.t1",2.91e-06
"63","Pocillopora_acuta_HIv2___TS.g10685.t1",0.01139196
"64","Pocillopora_acuta_HIv2___RNAseq.g27932.t1",4.41e-06
"65","Pocillopora_acuta_HIv2___RNAseq.g27935.t1",2e-08
"66","Pocillopora_acuta_HIv2___TS.g10701.t3",1.094e-05
"67","Pocillopora_acuta_HIv2___RNAseq.g27978.t1",0.01864375
"68","Pocillopora_acuta_HIv2___RNAseq.g27984.t1",0.00096876
"69","Pocillopora_acuta_HIv2___TS.g10759.t1",3e-08
"70","Pocillopora_acuta_HIv2___RNAseq.g27995.t1",0
"71","Pocillopora_acuta_HIv2___TS.g10764.t1",0
"72","Pocillopora_acuta_HIv2___TS.g10781.t1",0
"73","Pocillopora_acuta_HIv2___RNAseq.g28017.t1",0
"74","Pocillopora_acuta_HIv2___RNAseq.g28028.t1",2.25e-06
"75","Pocillopora_acuta_HIv2___RNAseq.g28029.t1",0.00489398
"76","Pocillopora_acuta_HIv2___RNAseq.g28031.t2",0.04681912
"77","Pocillopora_acuta_HIv2___RNAseq.g28036.t2",6.533e-05
"78","Pocillopora_acuta_HIv2___TS.g10825.t1",5.709e-05
"79","Pocillopora_acuta_HIv2___TS.g10828.t1",0.01781129
"80","Pocillopora_acuta_HIv2___RNAseq.g28059.t1",0
"81","Pocillopora_acuta_HIv2___RNAseq.g28066.t1",0
"82","Pocillopora_acuta_HIv2___RNAseq.g28068.t1",0
"83","Pocillopora_acuta_HIv2___TS.g10853.t1",0
"84","Pocillopora_acuta_HIv2___TS.g10866.t1",0.00231552
"85","Pocillopora_acuta_HIv2___RNAseq.g28105.t1",0
"86","Pocillopora_acuta_HIv2___RNAseq.g28108.t1",0.01873254
"87","Pocillopora_acuta_HIv2___RNAseq.g28136.t1b",0.04291712
"88","Pocillopora_acuta_HIv2___RNAseq.g28137.t1",4.34e-06
"89","Pocillopora_acuta_HIv2___RNAseq.g28144.t1",0.04435911
"90","Pocillopora_acuta_HIv2___RNAseq.g28152.t1",0.01091373
"91","Pocillopora_acuta_HIv2___RNAseq.g28158.t1",0.04354228
"92","Pocillopora_acuta_HIv2___RNAseq.g28161.t1",0.00090982
"93","Pocillopora_acuta_HIv2___RNAseq.g28164.t1",0
"94","Pocillopora_acuta_HIv2___RNAseq.g28180.t1",0.0011131
"95","Pocillopora_acuta_HIv2___TS.g10965.t1",0.01205807
"96","Pocillopora_acuta_HIv2___RNAseq.g28187.t1",0.02079158
"97","Pocillopora_acuta_HIv2___RNAseq.g28190.t1",0.03034823
"98","Pocillopora_acuta_HIv2___RNAseq.g28197.t1",0.0324661
"99","Pocillopora_acuta_HIv2___RNAseq.g28198.t1",0.01958101
"100","Pocillopora_acuta_HIv2___RNAseq.g28213.t1",1.724e-05
"101","Pocillopora_acuta_HIv2___RNAseq.g28214.t1",0.04525702
"102","Pocillopora_acuta_HIv2___RNAseq.g28216.t1",2.919e-05
"103","Pocillopora_acuta_HIv2___TS.g11023.t1",0.00021832
"104","Pocillopora_acuta_HIv2___RNAseq.g28251.t1",2e-08
"105","Pocillopora_acuta_HIv2___RNAseq.g28253.t1",0
"106","Pocillopora_acuta_HIv2___RNAseq.g28255.t1",0.00833637
"107","Pocillopora_acuta_HIv2___TS.g11046.t1",0.03521219
"108","Pocillopora_acuta_HIv2___RNAseq.g28263.t1",0.00606623
"109","Pocillopora_acuta_HIv2___RNAseq.g28270.t1",0
"110","Pocillopora_acuta_HIv2___RNAseq.g28282.t1",0.00620875
"111","Pocillopora_acuta_HIv2___RNAseq.g28290.t1",1.5e-07
"112","Pocillopora_acuta_HIv2___RNAseq.g28295.t1",0.04749847
"113","Pocillopora_acuta_HIv2___RNAseq.g28309.t1",0
"114","Pocillopora_acuta_HIv2___RNAseq.g28310.t1",0
"115","Pocillopora_acuta_HIv2___RNAseq.g28327.t4",0
"116","Pocillopora_acuta_HIv2___TS.g11111.t2",0.00633695
"117","Pocillopora_acuta_HIv2___RNAseq.953_t",0.00353586
"118","Pocillopora_acuta_HIv2___RNAseq.g28338.t1a",1.7e-07
"119","Pocillopora_acuta_HIv2___RNAseq.g28353.t1",0
"120","Pocillopora_acuta_HIv2___TS.g11147.t1",0
"121","Pocillopora_acuta_HIv2___RNAseq.g28377.t1",6.49e-06
"122","Pocillopora_acuta_HIv2___TS.g11189.t1",0
"123","Pocillopora_acuta_HIv2___RNAseq.g28432.t1",0.00012175
"124","Pocillopora_acuta_HIv2___RNAseq.g28434.t1",0.00649488
"125","Pocillopora_acuta_HIv2___RNAseq.g28455.t1",3.3e-07
"126","Pocillopora_acuta_HIv2___RNAseq.g28459.t1",0
"127","Pocillopora_acuta_HIv2___RNAseq.g28463.t1",3.968e-05
"128","Pocillopora_acuta_HIv2___RNAseq.g28466.t1",0.01382061
"129","Pocillopora_acuta_HIv2___RNAseq.g28473.t1",0.00506407
"130","Pocillopora_acuta_HIv2___TS.g11273.t1",1e-08
"131","Pocillopora_acuta_HIv2___RNAseq.g28491.t1",0.02567239
"132","Pocillopora_acuta_HIv2___RNAseq.g28495.t1",2.6e-07
"133","Pocillopora_acuta_HIv2___RNAseq.g28498.t1",1.4e-06
"134","Pocillopora_acuta_HIv2___TS.g11349.t1",0.0247243
"135","Pocillopora_acuta_HIv2___RNAseq.1177_t",3e-08
"136","Pocillopora_acuta_HIv2___RNAseq.g28575.t1b",0.00356176
"137","Pocillopora_acuta_HIv2___RNAseq.g28577.t1",5.75e-06
"138","Pocillopora_acuta_HIv2___RNAseq.g28585.t1",0.00895989
"139","Pocillopora_acuta_HIv2___RNAseq.g28601.t1",0
"140","Pocillopora_acuta_HIv2___RNAseq.g28602.t1",0
"141","Pocillopora_acuta_HIv2___RNAseq.g28607.t1",4e-08
"142","Pocillopora_acuta_HIv2___RNAseq.g28610.t1",0.03271957
"143","Pocillopora_acuta_HIv2___TS.g11417.t1",0.00712594
"144","Pocillopora_acuta_HIv2___RNAseq.g28638.t1",1.343e-05
"145","Pocillopora_acuta_HIv2___RNAseq.g28639.t1",0
"146","Pocillopora_acuta_HIv2___RNAseq.g28668.t1",0.04412414
"147","Pocillopora_acuta_HIv2___RNAseq.g28671.t1",0.01426273
"148","Pocillopora_acuta_HIv2___TS.g11455.t1",0
"149","Pocillopora_acuta_HIv2___RNAseq.1286_t",0.00014153
"150","Pocillopora_acuta_HIv2___RNAseq.g28705.t1",1.22e-06
"151","Pocillopora_acuta_HIv2___RNAseq.g28706.t2",0.00036702
"152","Pocillopora_acuta_HIv2___RNAseq.g10145.t1b",0
"153","Pocillopora_acuta_HIv2___RNAseq.g10152.t1",0.03669308
"154","Pocillopora_acuta_HIv2___RNAseq.g10167.t1",0
"155","Pocillopora_acuta_HIv2___RNAseq.g10168.t1",0.03690395
"156","Pocillopora_acuta_HIv2___RNAseq.g10169.t1",0.04590657
"157","Pocillopora_acuta_HIv2___RNAseq.g10172.t1",0
"158","Pocillopora_acuta_HIv2___TS.g28333.t1",0
"159","Pocillopora_acuta_HIv2___RNAseq.g10186.t1",0
"160","Pocillopora_acuta_HIv2___RNAseq.g10194.t1",0
"161","Pocillopora_acuta_HIv2___RNAseq.g10214.t1",0
"162","Pocillopora_acuta_HIv2___TS.g28369.t1",0.00107712
"163","Pocillopora_acuta_HIv2___RNAseq.g10226.t1b",0
"164","Pocillopora_acuta_HIv2___RNAseq.g10234.t1b",0
"165","Pocillopora_acuta_HIv2___RNAseq.g10236.t1",0
"166","Pocillopora_acuta_HIv2___RNAseq.g10257.t1",0.04398404
"167","Pocillopora_acuta_HIv2___TS.g28412.t2",0
"168","Pocillopora_acuta_HIv2___RNAseq.g10268.t1",0
"169","Pocillopora_acuta_HIv2___RNAseq.g10272.t2",0.04555711
"170","Pocillopora_acuta_HIv2___TS.g28426.t1",0.00117384
"171","Pocillopora_acuta_HIv2___RNAseq.g10278.t1",8.975e-05
"172","Pocillopora_acuta_HIv2___RNAseq.g10287.t1",0
"173","Pocillopora_acuta_HIv2___RNAseq.g10291.t1",0.00545
"174","Pocillopora_acuta_HIv2___RNAseq.g10292.t1",2.48e-06
"175","Pocillopora_acuta_HIv2___RNAseq.g10304.t1",0
"176","Pocillopora_acuta_HIv2___TS.g28459.t1",0.0002146
"177","Pocillopora_acuta_HIv2___RNAseq.g10315.t3",0.00245995
"178","Pocillopora_acuta_HIv2___RNAseq.g10317.t1",0.01340037
"179","Pocillopora_acuta_HIv2___RNAseq.g10320.t1b",0.00183129
"180","Pocillopora_acuta_HIv2___TS.g28485.t1",0.00019532
"181","Pocillopora_acuta_HIv2___RNAseq.g10332.t1",0
"182","Pocillopora_acuta_HIv2___RNAseq.g10349.t1",0
"183","Pocillopora_acuta_HIv2___RNAseq.g10350.t1",0.0127237
"184","Pocillopora_acuta_HIv2___RNAseq.g10353.t1",0
"185","Pocillopora_acuta_HIv2___TS.g28519.t2",0
"186","Pocillopora_acuta_HIv2___RNAseq.g10374.t1",0.00353134
"187","Pocillopora_acuta_HIv2___RNAseq.g10397.t1a",0.00789105
"188","Pocillopora_acuta_HIv2___RNAseq.g10400.t1",0
"189","Pocillopora_acuta_HIv2___TS.g28559.t1",0
"190","Pocillopora_acuta_HIv2___TS.g28590.t1",0.00723756
"191","Pocillopora_acuta_HIv2___RNAseq.g10435.t2",0.00304337
"192","Pocillopora_acuta_HIv2___RNAseq.g10445.t1",0.01674266
"193","Pocillopora_acuta_HIv2___TS.g28611.t1a",0
"194","Pocillopora_acuta_HIv2___RNAseq.g10457.t1",0
"195","Pocillopora_acuta_HIv2___RNAseq.g10465.t2",0.0291634
"196","Pocillopora_acuta_HIv2___TS.g28628.t1",4.1e-07
"197","Pocillopora_acuta_HIv2___RNAseq.g10474.t1",0.00213289
"198","Pocillopora_acuta_HIv2___RNAseq.g10476.t1",4.687e-05
"199","Pocillopora_acuta_HIv2___RNAseq.g10477.t1",0.02521636
"200","Pocillopora_acuta_HIv2___RNAseq.g10484.t1",0.04200915
"201","Pocillopora_acuta_HIv2___RNAseq.g10501.t2",0.00876404
"202","Pocillopora_acuta_HIv2___RNAseq.g10508.t1",0.00356176
"203","Pocillopora_acuta_HIv2___RNAseq.g10515.t1",1e-08
"204","Pocillopora_acuta_HIv2___RNAseq.g10524.t1",7.48e-05
"205","Pocillopora_acuta_HIv2___TS.g28688.t1b",0.01920148
"206","Pocillopora_acuta_HIv2___TS.g28689.t1",6.264e-05
"207","Pocillopora_acuta_HIv2___TS.g28695.t2",1.1e-07
