"gene","GO_ID","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1","GO:0001671","45351.EDO43758","0","1060","COG0484@1|root; COG0526@1|root; KOG0191@2759|Eukaryota; KOG0713@2759|Eukaryota; 38G4X@33154|Opisthokonta; 3B9AU@33208|Metazoa","33208|Metazoa","O","homolog subfamily C member 10","DNAJC10",NA,"ko:K09530","ko04141; map04141",NA,NA,NA,"ko00000; ko00001; ko03110; ko04131",NA,NA,NA,"DnaJ; Thioredoxin",NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1","GO:0001932","45351.EDO43758","0","1060","COG0484@1|root; COG0526@1|root; KOG0191@2759|Eukaryota; KOG0713@2759|Eukaryota; 38G4X@33154|Opisthokonta; 3B9AU@33208|Metazoa","33208|Metazoa","O","homolog subfamily C member 10","DNAJC10",NA,"ko:K09530","ko04141; map04141",NA,NA,NA,"ko00000; ko00001; ko03110; ko04131",NA,NA,NA,"DnaJ; Thioredoxin",NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1","GO:0001933","45351.EDO43758","0","1060","COG0484@1|root; COG0526@1|root; KOG0191@2759|Eukaryota; KOG0713@2759|Eukaryota; 38G4X@33154|Opisthokonta; 3B9AU@33208|Metazoa","33208|Metazoa","O","homolog subfamily C member 10","DNAJC10",NA,"ko:K09530","ko04141; map04141",NA,NA,NA,"ko00000; ko00001; ko03110; ko04131",NA,NA,NA,"DnaJ; Thioredoxin",NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1","GO:0003674","45351.EDO43758","0","1060","COG0484@1|root; COG0526@1|root; KOG0191@2759|Eukaryota; KOG0713@2759|Eukaryota; 38G4X@33154|Opisthokonta; 3B9AU@33208|Metazoa","33208|Metazoa","O","homolog subfamily C member 10","DNAJC10",NA,"ko:K09530","ko04141; map04141",NA,NA,NA,"ko00000; ko00001; ko03110; ko04131",NA,NA,NA,"DnaJ; Thioredoxin",NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1","GO:0003824","45351.EDO43758","0","1060","COG0484@1|root; COG0526@1|root; KOG0191@2759|Eukaryota; KOG0713@2759|Eukaryota; 38G4X@33154|Opisthokonta; 3B9AU@33208|Metazoa","33208|Metazoa","O","homolog subfamily C member 10","DNAJC10",NA,"ko:K09530","ko04141; map04141",NA,NA,NA,"ko00000; ko00001; ko03110; ko04131",NA,NA,NA,"DnaJ; Thioredoxin",NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1","GO:0005488","45351.EDO43758","0","1060","COG0484@1|root; COG0526@1|root; KOG0191@2759|Eukaryota; KOG0713@2759|Eukaryota; 38G4X@33154|Opisthokonta; 3B9AU@33208|Metazoa","33208|Metazoa","O","homolog subfamily C member 10","DNAJC10",NA,"ko:K09530","ko04141; map04141",NA,NA,NA,"ko00000; ko00001; ko03110; ko04131",NA,NA,NA,"DnaJ; Thioredoxin",NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1","GO:0005515","45351.EDO43758","0","1060","COG0484@1|root; COG0526@1|root; KOG0191@2759|Eukaryota; KOG0713@2759|Eukaryota; 38G4X@33154|Opisthokonta; 3B9AU@33208|Metazoa","33208|Metazoa","O","homolog subfamily C member 10","DNAJC10",NA,"ko:K09530","ko04141; map04141",NA,NA,NA,"ko00000; ko00001; ko03110; ko04131",NA,NA,NA,"DnaJ; Thioredoxin",NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1","GO:0005575","45351.EDO43758","0","1060","COG0484@1|root; COG0526@1|root; KOG0191@2759|Eukaryota; KOG0713@2759|Eukaryota; 38G4X@33154|Opisthokonta; 3B9AU@33208|Metazoa","33208|Metazoa","O","homolog subfamily C member 10","DNAJC10",NA,"ko:K09530","ko04141; map04141",NA,NA,NA,"ko00000; ko00001; ko03110; ko04131",NA,NA,NA,"DnaJ; Thioredoxin",NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1","GO:0005622","45351.EDO43758","0","1060","COG0484@1|root; COG0526@1|root; KOG0191@2759|Eukaryota; KOG0713@2759|Eukaryota; 38G4X@33154|Opisthokonta; 3B9AU@33208|Metazoa","33208|Metazoa","O","homolog subfamily C member 10","DNAJC10",NA,"ko:K09530","ko04141; map04141",NA,NA,NA,"ko00000; ko00001; ko03110; ko04131",NA,NA,NA,"DnaJ; Thioredoxin",NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1","GO:0005623","45351.EDO43758","0","1060","COG0484@1|root; COG0526@1|root; KOG0191@2759|Eukaryota; KOG0713@2759|Eukaryota; 38G4X@33154|Opisthokonta; 3B9AU@33208|Metazoa","33208|Metazoa","O","homolog subfamily C member 10","DNAJC10",NA,"ko:K09530","ko04141; map04141",NA,NA,NA,"ko00000; ko00001; ko03110; ko04131",NA,NA,NA,"DnaJ; Thioredoxin",NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1","GO:0005737","45351.EDO43758","0","1060","COG0484@1|root; COG0526@1|root; KOG0191@2759|Eukaryota; KOG0713@2759|Eukaryota; 38G4X@33154|Opisthokonta; 3B9AU@33208|Metazoa","33208|Metazoa","O","homolog subfamily C member 10","DNAJC10",NA,"ko:K09530","ko04141; map04141",NA,NA,NA,"ko00000; ko00001; ko03110; ko04131",NA,NA,NA,"DnaJ; Thioredoxin",NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1","GO:0005783","45351.EDO43758","0","1060","COG0484@1|root; COG0526@1|root; KOG0191@2759|Eukaryota; KOG0713@2759|Eukaryota; 38G4X@33154|Opisthokonta; 3B9AU@33208|Metazoa","33208|Metazoa","O","homolog subfamily C member 10","DNAJC10",NA,"ko:K09530","ko04141; map04141",NA,NA,NA,"ko00000; ko00001; ko03110; ko04131",NA,NA,NA,"DnaJ; Thioredoxin",NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1","GO:0005788","45351.EDO43758","0","1060","COG0484@1|root; COG0526@1|root; KOG0191@2759|Eukaryota; KOG0713@2759|Eukaryota; 38G4X@33154|Opisthokonta; 3B9AU@33208|Metazoa","33208|Metazoa","O","homolog subfamily C member 10","DNAJC10",NA,"ko:K09530","ko04141; map04141",NA,NA,NA,"ko00000; ko00001; ko03110; ko04131",NA,NA,NA,"DnaJ; Thioredoxin",NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1","GO:0006457","45351.EDO43758","0","1060","COG0484@1|root; COG0526@1|root; KOG0191@2759|Eukaryota; KOG0713@2759|Eukaryota; 38G4X@33154|Opisthokonta; 3B9AU@33208|Metazoa","33208|Metazoa","O","homolog subfamily C member 10","DNAJC10",NA,"ko:K09530","ko04141; map04141",NA,NA,NA,"ko00000; ko00001; ko03110; ko04131",NA,NA,NA,"DnaJ; Thioredoxin",NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1","GO:0006508","45351.EDO43758","0","1060","COG0484@1|root; COG0526@1|root; KOG0191@2759|Eukaryota; KOG0713@2759|Eukaryota; 38G4X@33154|Opisthokonta; 3B9AU@33208|Metazoa","33208|Metazoa","O","homolog subfamily C member 10","DNAJC10",NA,"ko:K09530","ko04141; map04141",NA,NA,NA,"ko00000; ko00001; ko03110; ko04131",NA,NA,NA,"DnaJ; Thioredoxin",NA,NA,NA,NA,NA,NA,NA,NA
